C3,C4,Cz,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
-21.741,5.0251,1.8482,-8.8026,-2.8243,-10.101,1.1057,-15.92,-3.0719,-4.9505,-10.784,6.8647,-16.649,8.0402,2.978,-5.0761,-0.89744,-13.132,2.0361
-19.77,-3.0151,-4.0924,-8.8026,-7.7504,-11.111,2.0813,-15.92,-0.13072,-12.871,-13.725,4.8845,-18.722,2.0101,-2.0981,-5.0761,-3.7821,-17.152,2.0361
-18.785,-11.055,-13.993,-9.7735,-15.632,-13.131,-4.748,-17.91,-6.9935,-16.832,-16.667,-5.0165,-19.758,-9.0452,-13.266,-6.0914,-9.5513,-17.152,-2.89
-18.785,-18.09,-16.964,-7.8317,-22.529,-12.121,-14.504,-14.925,-15.817,-15.842,-12.745,-16.898,-17.686,-19.095,-20.372,-7.1066,-18.205,-21.173,-12.742
-16.814,-16.08,-12.013,-2.0065,-24.499,-7.0707,-22.309,-11.94,-16.797,-7.9208,-6.8627,-21.848,-10.432,-20.101,-18.342,-5.0761,-21.09,-16.147,-18.654
-11.888,-9.0452,-6.0726,-0.06472,-20.558,-3.0303,-21.333,-7.9602,-12.876,0.0,-0.98039,-16.898,-4.2142,-13.065,-13.266,-2.0305,-19.167,-10.117,-17.668
-8.9327,-6.0302,-6.0726,-1.0356,-16.617,-4.0404,-15.48,-9.9502,-5.0327,-0.9901,-3.9216,-9.967,-3.1779,-6.0302,-13.266,0.0,-14.359,-7.1022,-12.742
-10.903,-13.065,-16.964,-7.8317,-18.588,-15.152,-13.528,-13.93,-7.9739,-13.861,-14.706,-9.967,-12.504,-9.0452,-24.433,-3.0457,-14.359,-16.147,-10.772
-16.814,-25.126,-29.835,-13.657,-25.484,-25.253,-18.407,-18.905,-16.797,-27.723,-24.51,-16.898,-20.794,-19.095,-37.631,-10.152,-19.167,-26.198,-15.698
-18.785,-27.136,-30.825,-10.744,-27.455,-24.242,-18.407,-16.915,-18.758,-29.703,-24.51,-20.858,-23.903,-22.111,-38.646,-12.183,-20.128,-28.208,-15.698
-18.785,-19.095,-21.914,-4.9191,-25.484,-15.152,-16.455,-12.935,-15.817,-19.802,-17.647,-17.888,-19.758,-17.085,-28.494,-9.1371,-15.321,-22.178,-10.772
-16.814,-8.0402,-10.033,-3.9482,-18.588,-8.0808,-12.553,-9.9502,-12.876,-8.9109,-9.8039,-11.947,-14.577,-9.0452,-16.311,-5.0761,-10.513,-15.142,-6.8309
-11.888,2.0101,-3.1023,-1.0356,-9.7209,-3.0303,-4.748,-5.9701,-7.9739,-0.9901,-4.902,-4.0264,-7.323,-2.0101,-7.1743,-3.0457,-5.7051,-10.117,-1.9048
-7.9475,5.0251,-1.1221,1.877,-3.8095,-5.0505,-1.8211,-1.99,-4.0523,0.9901,-3.9216,0.92409,-5.2504,2.0101,-5.1438,-1.0152,-3.7821,-10.117,1.0509
-13.859,-4.0201,-10.033,-4.9191,-8.7356,-14.141,-6.6992,-8.9552,-10.915,-8.9109,-13.725,-5.0165,-13.541,-5.0251,-12.25,-9.1371,-8.5897,-13.132,-5.8456
-15.829,-14.07,-15.974,-7.8317,-14.647,-17.172,-12.553,-10.945,-14.837,-17.822,-17.647,-12.937,-17.686,-12.06,-16.311,-13.198,-14.359,-17.152,-14.713
-11.888,-19.095,-13.003,-4.9191,-17.603,-10.101,-17.431,-5.9701,-15.817,-16.832,-12.745,-18.878,-11.468,-16.08,-14.281,-9.1371,-16.282,-14.137,-18.654
-3.0213,-16.08,-6.0726,1.877,-14.647,-1.0101,-18.407,0.99502,-12.876,-7.9208,-2.9412,-16.898,-3.1779,-14.07,-8.1895,-4.0609,-15.321,-6.0972,-15.698
0.91954,-11.055,-0.13201,7.7023,-12.677,4.0404,-14.504,6.9652,-9.9346,0.0,3.9216,-8.9769,4.076,-9.0452,-1.0829,-1.0152,-14.359,-5.0921,-11.757
-1.0509,-7.0352,1.8482,4.7896,-11.691,0.0,-11.577,4.9751,-12.876,0.9901,2.9412,-5.0165,4.076,-7.0352,0.94755,-6.0914,-14.359,-6.0972,-10.772
4.8604,4.0201,9.769,7.7023,-1.8391,3.0303,-4.748,9.9502,-7.9739,8.9109,7.8431,2.9043,8.2211,2.0101,7.0389,-5.0761,-4.7436,-0.067,-4.8604
7.8161,11.055,13.729,7.7023,5.0575,6.0606,-1.8211,9.9502,-6.0131,13.861,8.8235,6.8647,12.366,10.05,9.0694,-3.0457,1.9872,4.9581,0.06568
3.8752,5.0251,8.7789,0.90615,-1.8391,2.0202,-7.6748,4.9751,-8.9542,9.901,4.902,1.9142,7.1848,6.0302,3.9932,-6.0914,-3.7821,2.9481,-5.8456
0.91954,4.0201,7.7888,1.877,-5.78,2.0202,-8.6504,0.99502,-7.9739,9.901,4.902,0.92409,6.1485,6.0302,1.9628,-4.0609,-4.7436,-0.067,-3.8752
0.91954,12.06,12.739,3.8188,-0.85386,4.0404,1.1057,3.9801,-4.0523,15.842,8.8235,9.835,9.2573,14.07,6.0237,-3.0457,2.9487,4.9581,8.9327
0.91954,15.075,12.739,0.90615,2.1018,0.0,5.0081,2.9851,-6.9935,14.851,5.8824,12.805,8.2211,16.08,3.9932,-6.0914,3.9103,3.9531,11.888
-1.0509,9.0452,5.8086,-2.9773,-0.85386,-7.0707,-0.84553,0.99502,-10.915,6.9307,0.0,6.8647,0.96718,10.05,-3.1134,-11.168,-2.8205,-4.0871,4.0066
-2.0361,5.0251,1.8482,-2.0065,-2.8243,-7.0707,-6.6992,1.99,-11.895,3.9604,-0.98039,0.92409,0.96718,5.0251,-6.1591,-11.168,-6.6667,-3.0821,-3.8752
-1.0509,3.0151,2.8383,0.90615,0.13136,-2.0202,-8.6504,1.99,-9.9346,2.9703,1.9608,-3.0363,2.0035,2.0101,-4.1286,-7.1066,-4.7436,-3.0821,-7.8161
-4.0066,-2.0101,-3.1023,-2.9773,0.13136,-5.0505,-9.626,-1.99,-9.9346,-1.9802,-1.9608,-7.9868,-1.1054,-5.0251,-10.22,-9.1371,-4.7436,-5.0921,-9.7865
-8.9327,-10.05,-11.023,-7.8317,-5.78,-12.121,-11.577,-7.9602,-14.837,-8.9109,-8.8235,-12.937,-7.323,-13.065,-19.357,-13.198,-8.5897,-4.0871,-12.742
-9.9179,-12.06,-13.993,-6.8608,-8.7356,-12.121,-11.577,-8.9552,-11.895,-10.891,-8.8235,-12.937,-7.323,-14.07,-19.357,-12.183,-10.513,-11.122,-13.727
-8.9327,-9.0452,-11.023,-3.9482,-8.7356,-10.101,-8.6504,-6.9652,-9.9346,-7.9208,-5.8824,-9.967,-4.2142,-10.05,-14.281,-12.183,-10.513,-13.132,-12.742
-8.9327,-5.0251,-7.0627,-1.0356,-7.7504,-7.0707,-10.602,-2.9851,-9.9346,-4.9505,-2.9412,-7.9868,-3.1779,-7.0352,-9.2047,-12.183,-11.474,-13.132,-14.713
-4.9918,1.005,-1.1221,-0.06472,-1.8391,-1.0101,-9.626,-0.99502,-6.9935,-0.9901,0.98039,-4.0264,0.96718,-1.005,-2.0981,-7.1066,-4.7436,-7.1022,-9.7865
-4.0066,-1.005,-2.1122,-0.06472,-2.8243,-1.0101,-11.577,-1.99,-7.9739,-3.9604,-0.98039,-5.0165,-1.1054,-2.0101,-3.1134,-5.0761,-1.859,-6.0972,-7.8161
